year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,pue
2020,Google Cloud,us-west3,PACE,US-NW-PACE,PACE,Salt Lake City,"40.7776,-111.9311 ",1.100
2020,Google Cloud,us-west4,NVE,US-NW-NEVP,NEVP,Las Vegas,"35.6011,-105.2206 ",1.100
2019,Google Cloud,asia-east1,Taiwan,TW,TW,Taiwan,"25.0375,121.5625",1.100
2019,Google Cloud,asia-east2,Hong Kong,HK,HK,Hong Kong,"22.3,114.2",1.100
2019,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",1.100
2019,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,"34.6939,135.502",1.100
2019,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,"37.56,126.99",1.100
2019,Google Cloud,asia-south1,Maharashtra,IN-MH,IND,Mumbai,"19.0761,72.8775",1.100
2019,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,"1.3,103.8",1.100
2019,Google Cloud,asia-southeast2,Indonesia,ID,ID,Jakarta,"-6.2507,106.869",1.100
2019,Google Cloud,australia-southeast1,New South Wales,AUS-NSW,NEM_NSW,Sydney,"-33.8678,151.21",1.100
2019,Google Cloud,europe-north1,Victoria,AUS-VIC,NEM_VIC,Finland,"60.1708,24.9375",1.100
2019,Google Cloud,europe-west1,Belgium,BE,BE,Belgium,"51.1333,4.5667",1.100
2019,Google Cloud,europe-west2,Great Britain,GB,UK,London,"51.726,-0.3",1.100
2019,Google Cloud,europe-west3,Germany,DE,DE,Frankfurt,"50.1106,8.6822",1.100
2019,Google Cloud,europe-west4,Netherlands,NL,NL,Netherlands,"51.9167,4.5",1.100
2019,Google Cloud,europe-west6,Switzerland,CH,CH,Zurich,"47.3744,8.5411",1.100
2019,Google Cloud,northamerica-northeast1,Quebec,CA-QC,HQ,Montreal,"45.5089,-73.5617",1.100
2019,Google Cloud,southamerica-east1,Central Brazil,BR-CS,BRA,Sao Paulo,"-3.45,-68.95",1.100
2019,Google Cloud,us-central1,MISO,US-MIDW-MISO,MISO_MASON_CITY,Iowa,"41.5725,-93.6105 ",1.100
2019,Google Cloud,us-east1,SC,US-CAR-SC,SC,South Carolina,"34.8354,-82.3646 ",1.100
2019,Google Cloud,us-east4,PJM,US-MIDA-PJM,PJM_DC,Northern Virginia,"39.1057,-77.5544 ",1.100
2019,Google Cloud,us-west1,BPA,US-NW-BPAT,BPA,Oregon,"45.5372,-122.3955 ",1.100
2019,Google Cloud,us-west2,CAISO,US-CAL-CISO,LDWP,Los Angeles,"34.1141,-118.4068 ",1.100
2019,Google Cloud,us-west3,PACE,US-NW-PACE,PACE,Salt Lake City,"40.7776,-111.9311 ",1.100
2019,Google Cloud,us-west4,NVE,US-NW-NEVP,NEVP,Las Vegas,"35.6011,-105.2206 ",1.100
